match_name,match_level,match_date,shooter,div,class,power_factor,cat,stg,factor,pts,a,c,d,ded,mi,ns,pe,ot,time
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 6,4.4776,54,10,1,1,0,0,0,0,,12.06
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 5,2.4684,39,9,1,1,0,1,0,0,,15.8
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 4,2.6277,72,15,5,2,0,2,0,0,,27.4
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 3,5.0615,144,25,6,1,0,0,0,0,,28.45
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 2,2.4873,54,10,1,1,0,0,0,0,,21.71
2025_MA5_2,2,2025-02-23,"APONTE, ANDRES ARISTIDES",P,D,Minor,,Stage 1,3.1342,64,15,1,6,0,2,0,0,,20.42
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 8,6.5161,150,24,7,1,0,0,0,0,,23.02
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 3,4.0121,146,26,5,1,0,0,0,0,,36.39
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 7,2.8684,58,10,2,0,0,0,0,0,,20.22
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 5,4.6937,59,11,1,0,0,0,0,0,,12.57
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 4,5.0838,88,20,2,0,0,2,0,0,,17.31
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 3,4.1767,121,21,9,0,0,2,0,0,,28.97
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 2,3.4018,58,10,2,0,0,0,0,0,,17.05
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 1,2.7326,79,13,8,1,0,2,0,0,,28.91
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 8,4.9674,137,27,4,0,0,1,0,0,,27.58
